title_o,doi_o,journal_o,title_r,doi_r,journal_r,apa_ref_r,outcome,outcome_quote,outcome_quote_source,n_replications,comment_text
The Influence of Product Anthropomorphism on Comparative Judgment,10.1093/jcr/ucz028,Journal of Consumer Research,[87] Data Replicada #5: Do Human-Like Products Inspire More Holistic Judgments?,NA,NA,"Simmons, J. &. Nelson, L.D. (2020). [87] Data Replicada #5: Do Human-Like Products Inspire More Holistic Judgments? Data Colada.",failed,"Indeed, perhaps the most noteworthy finding is that the two replications produced extremely similar results, despite coming from different online populations. One conclusion could be that the original effect does not truly exist, and the original finding was a false positive. Our evidence is consistent with that.",abstract,1,"According to data from the FORRT Library of Reproduction and Replication Attempts (FLoRA) there are 1 replication attempt(s) of a finding from this study. Future research may learn from replications and build on them. Manual inspection of these articles may help to assess what led to the described outcome.

Replication article reference: Simmons, J. &. Nelson, L.D. (2020). [87] Data Replicada #5: Do Human-Like Products Inspire More Holistic Judgments? Data Colada.
https://doi.org/NA

Outcome: failed
Outcome quote: Indeed, perhaps the most noteworthy finding is that the two replications produced extremely similar results, despite coming from different online populations. One conclusion could be that the original effect does not truly exist, and the original finding was a false positive. Our evidence is consistent with that.
Quote source: abstract

FLoRA is available online: https://dx.doi.org/10.17605/OSF.IO/9r62x

We describe why and how we submitted these automated comments here: https://github.com/forrtproject/flora-pubpeer/blob/main/README.md

FLoRA Notify Team"
Social Perception in Infancy: A Near Infrared Spectroscopy Study,10.1111/j.1467-8624.2009.01312.x,Child Development,Negative affect is related to reduced differential neural responses to social and non-social stimuli in 5-to-8-month-old infants: A functional near-infrared spectroscopy-study,10.1016/j.dcn.2017.12.003,Developmental Cognitive Neuroscience,"van der Kant, A., Biro, S., Levelt, C., & Huijbregts, S. (2018). Negative affect is related to reduced differential neural responses to social and non-social stimuli in 5-to-8-month-old infants: A functional near-infrared spectroscopy-study. Developmental Cognitive Neuroscience, 30, 23–30. https://doi.org/10.1016/j.dcn.2017.12.003",successful,Our results replicate those of Lloyd-Fox et al.,abstract,1,"According to data from the FORRT Library of Reproduction and Replication Attempts (FLoRA) there are 1 replication attempt(s) of a finding from this study. Future research may learn from replications and build on them. Manual inspection of these articles may help to assess what led to the described outcome.

Replication article reference: van der Kant, A., Biro, S., Levelt, C., & Huijbregts, S. (2018). Negative affect is related to reduced differential neural responses to social and non-social stimuli in 5-to-8-month-old infants: A functional near-infrared spectroscopy-study. Developmental Cognitive Neuroscience, 30, 23–30. https://doi.org/10.1016/j.dcn.2017.12.003
https://doi.org/10.1016/j.dcn.2017.12.003

Outcome: successful
Outcome quote: Our results replicate those of Lloyd-Fox et al.
Quote source: abstract

FLoRA is available online: https://dx.doi.org/10.17605/OSF.IO/9r62x

We describe why and how we submitted these automated comments here: https://github.com/forrtproject/flora-pubpeer/blob/main/README.md

FLoRA Notify Team"
Creating Social Connection Through Inferential Reproduction,10.1111/j.1467-9280.2008.02056.x,Psychological Science,Estimating the reproducibility of psychological science,10.1126/science.aac4716,Science,Open Science Collaboration (2015). Estimating the reproducibility of psychological science. Science 349(6251). Individual report available at https://osf.io/yuybh,failed,no marked in Replicate column,data file at https://osf.io/fgjvw,1,"According to data from the FORRT Library of Reproduction and Replication Attempts (FLoRA) there are 1 replication attempt(s) of a finding from this study. Future research may learn from replications and build on them. Manual inspection of these articles may help to assess what led to the described outcome.

Replication article reference: Open Science Collaboration (2015). Estimating the reproducibility of psychological science. Science 349(6251). Individual report available at https://osf.io/yuybh
https://doi.org/10.1126/science.aac4716

Outcome: failed
Outcome quote: no marked in Replicate column
Quote source: data file at https://osf.io/fgjvw

FLoRA is available online: https://dx.doi.org/10.17605/OSF.IO/9r62x

We describe why and how we submitted these automated comments here: https://github.com/forrtproject/flora-pubpeer/blob/main/README.md

FLoRA Notify Team"
Precision of the Anchor Influences the Amount of Adjustment,10.1111/j.1467-9280.2008.02057.x,Psychological Science,"Replication of Janiszewski & Uy  (2008, PS, Study 4b)",10.17605/osf.io/ehjdm,OSF,"Chandler, J. J. (2023). Replication of Janiszewski & Uy (2008, PS, Study 4b). OSF. Retrieved from https://osf.io/aaudl",successful,"The central claim of their
paper – that anchor precision influences the degree of adjustment was supported. Additionally, these data
replicated the main effect of motivation observed in their study. There was no evidence of the reported
interaction.",pg. 3,1,"According to data from the FORRT Library of Reproduction and Replication Attempts (FLoRA) there are 1 replication attempt(s) of a finding from this study. Future research may learn from replications and build on them. Manual inspection of these articles may help to assess what led to the described outcome.

Replication article reference: Chandler, J. J. (2023). Replication of Janiszewski & Uy (2008, PS, Study 4b). OSF. Retrieved from https://osf.io/aaudl
https://doi.org/10.17605/osf.io/ehjdm

Outcome: successful
Outcome quote: The central claim of their
paper – that anchor precision influences the degree of adjustment was supported. Additionally, these data
replicated the main effect of motivation observed in their study. There was no evidence of the reported
interaction.
Quote source: pg. 3

FLoRA is available online: https://dx.doi.org/10.17605/OSF.IO/9r62x

We describe why and how we submitted these automated comments here: https://github.com/forrtproject/flora-pubpeer/blob/main/README.md

FLoRA Notify Team"
The Representation of Simple Ensemble Visual Features Outside the Focus of Attention,10.1111/j.1467-9280.2008.02098.x,Psychological Science,Estimating the reproducibility of psychological science,10.1126/science.aac4716,Science,Open Science Collaboration (2015). Estimating the reproducibility of psychological science. Science 349(6251). Individual report available at https://osf.io/dnaxe,successful,yes marked in Replicate column,data file at https://osf.io/fgjvw,1,"According to data from the FORRT Library of Reproduction and Replication Attempts (FLoRA) there are 1 replication attempt(s) of a finding from this study. Future research may learn from replications and build on them. Manual inspection of these articles may help to assess what led to the described outcome.

Replication article reference: Open Science Collaboration (2015). Estimating the reproducibility of psychological science. Science 349(6251). Individual report available at https://osf.io/dnaxe
https://doi.org/10.1126/science.aac4716

Outcome: successful
Outcome quote: yes marked in Replicate column
Quote source: data file at https://osf.io/fgjvw

FLoRA is available online: https://dx.doi.org/10.17605/OSF.IO/9r62x

We describe why and how we submitted these automated comments here: https://github.com/forrtproject/flora-pubpeer/blob/main/README.md

FLoRA Notify Team"
The Role of Inhibitory Control in Second Language Phonological Processing,10.1111/lang.12161,Language Learning,"Clarifying the role of inhibitory control in L2 phonological processing: A preregistered, close replication of Darcy et al. (2016)",10.1017/s0272263124000238,Studies in Second Language Acquisition,"Huensch, A. (2024). Clarifying the role of inhibitory control in L2 phonological processing: A preregistered, close replication of Darcy et al. (2016). Studies in Second Language Acquisition, 46(5), 1392–1412. https://doi.org/10.1017/s0272263124000238",failed,"However, results of the partial correlation analyses in the current
replication did not indicate clear relationships between phonological variables and inhibi-
tory control.",abstract,1,"According to data from the FORRT Library of Reproduction and Replication Attempts (FLoRA) there are 1 replication attempt(s) of a finding from this study. Future research may learn from replications and build on them. Manual inspection of these articles may help to assess what led to the described outcome.

Replication article reference: Huensch, A. (2024). Clarifying the role of inhibitory control in L2 phonological processing: A preregistered, close replication of Darcy et al. (2016). Studies in Second Language Acquisition, 46(5), 1392–1412. https://doi.org/10.1017/s0272263124000238
https://doi.org/10.1017/s0272263124000238

Outcome: failed
Outcome quote: However, results of the partial correlation analyses in the current
replication did not indicate clear relationships between phonological variables and inhibi-
tory control.
Quote source: abstract

FLoRA is available online: https://dx.doi.org/10.17605/OSF.IO/9r62x

We describe why and how we submitted these automated comments here: https://github.com/forrtproject/flora-pubpeer/blob/main/README.md

FLoRA Notify Team"
Power Posing,10.1177/0956797610383437,Psychological Science,Assessing the Robustness of Power Posing,10.1177/0956797614553946,Psychological Science,"Ranehill, E., Dreber, A., Johannesson, M., Leiberg, S., Sul, S., & Weber, R. A. (2015). Assessing the Robustness of Power Posing. Psychological Science, 26(5), 653–656. https://doi.org/10.1177/0956797614553946",mixed,"Consistent with the findings of Carney et al., our
results showed a significant effect of power posing on
self-reported feelings of power. However, we found no
significant effect of power posing on hormonal levels or
in any of the three behavioral tasks.",abstract,3,"According to data from the FORRT Library of Reproduction and Replication Attempts (FLoRA) there are 3 replication attempt(s) of a finding from this study. Future research may learn from replications and build on them. Manual inspection of these articles may help to assess what led to the described outcome.

Replication article reference: Ranehill, E., Dreber, A., Johannesson, M., Leiberg, S., Sul, S., & Weber, R. A. (2015). Assessing the Robustness of Power Posing. Psychological Science, 26(5), 653–656. https://doi.org/10.1177/0956797614553946
https://doi.org/10.1177/0956797614553946

Outcome: mixed
Outcome quote: Consistent with the findings of Carney et al., our
results showed a significant effect of power posing on
self-reported feelings of power. However, we found no
significant effect of power posing on hormonal levels or
in any of the three behavioral tasks.
Quote source: abstract

FLoRA is available online: https://dx.doi.org/10.17605/OSF.IO/9r62x

We describe why and how we submitted these automated comments here: https://github.com/forrtproject/flora-pubpeer/blob/main/README.md

FLoRA Notify Team"
Power Posing,10.1177/0956797610383437,Psychological Science,Embodying Power,10.1177/1948550616652209,Social Psychological and Personality Science,"Garrison, K. E., Tang, D., & Schmeichel, B. J. (2016). Embodying Power. Social Psychological and Personality Science, 7(7), 623–630. https://doi.org/10.1177/1948550616652209",failed,"Neither body posture nor eye gaze influenced the gambling decision, and contrary to the predictions, adopting an expansive pose reduced feelings of power.",NA,3,"According to data from the FORRT Library of Reproduction and Replication Attempts (FLoRA) there are 3 replication attempt(s) of a finding from this study. Future research may learn from replications and build on them. Manual inspection of these articles may help to assess what led to the described outcome.

Replication article reference: Garrison, K. E., Tang, D., & Schmeichel, B. J. (2016). Embodying Power. Social Psychological and Personality Science, 7(7), 623–630. https://doi.org/10.1177/1948550616652209
https://doi.org/10.1177/1948550616652209

Outcome: failed
Outcome quote: Neither body posture nor eye gaze influenced the gambling decision, and contrary to the predictions, adopting an expansive pose reduced feelings of power.
Quote source: ""Does not appear""

FLoRA is available online: https://dx.doi.org/10.17605/OSF.IO/9r62x

We describe why and how we submitted these automated comments here: https://github.com/forrtproject/flora-pubpeer/blob/main/README.md

FLoRA Notify Team"
Power Posing,10.1177/0956797610383437,Psychological Science,"Embodied power, testosterone, and overconfidence as a causal pathway to risk-taking",10.1080/23743603.2016.1248081,Comprehensive Results in Social Psychology,"Ronay, R., Tybur, J. M., van Huijstee, D., & Morssinkhof, M. (2016). Embodied power, testosterone, and overconfidence as a causal pathway to risk-taking. Comprehensive Results in Social Psychology, 2(1), 28–43. https://doi.org/10.1080/23743603.2016.1248081",failed,We were unable to replicate the findings of the original study and subsequently found no evidence for our extended hypotheses.,NA,3,"According to data from the FORRT Library of Reproduction and Replication Attempts (FLoRA) there are 3 replication attempt(s) of a finding from this study. Future research may learn from replications and build on them. Manual inspection of these articles may help to assess what led to the described outcome.

Replication article reference: Ronay, R., Tybur, J. M., van Huijstee, D., & Morssinkhof, M. (2016). Embodied power, testosterone, and overconfidence as a causal pathway to risk-taking. Comprehensive Results in Social Psychology, 2(1), 28–43. https://doi.org/10.1080/23743603.2016.1248081
https://doi.org/10.1080/23743603.2016.1248081

Outcome: failed
Outcome quote: We were unable to replicate the findings of the original study and subsequently found no evidence for our extended hypotheses.
Quote source: ""Does not appear""

FLoRA is available online: https://dx.doi.org/10.17605/OSF.IO/9r62x

We describe why and how we submitted these automated comments here: https://github.com/forrtproject/flora-pubpeer/blob/main/README.md

FLoRA Notify Team"
Integrating Sexual Objectification With Object Versus Person Recognition,10.1177/0956797611434748,Psychological Science,The sexualized-body-inversion hypothesis revisited: Valid indicator of sexual objectification or methodological artifact?,10.1016/j.cognition.2014.09.003,Cognition,"Schmidt, A. F., & Kistemaker, L. M. (2015). The sexualized-body-inversion hypothesis revisited: Valid indicator of sexual objectification or methodological artifact? Cognition, 134, 77–84. https://doi.org/10.1016/j.cognition.2014.09.003",statistically successful but flawed,It is concluded that the SBIH as postulated by Bernard et al. (2012) is based on a methodological artifact and cannot be related to SO but symmetry detection.,abstract,2,"According to data from the FORRT Library of Reproduction and Replication Attempts (FLoRA) there are 2 replication attempt(s) of a finding from this study. Future research may learn from replications and build on them. Manual inspection of these articles may help to assess what led to the described outcome.

Replication article reference: Schmidt, A. F., & Kistemaker, L. M. (2015). The sexualized-body-inversion hypothesis revisited: Valid indicator of sexual objectification or methodological artifact? Cognition, 134, 77–84. https://doi.org/10.1016/j.cognition.2014.09.003
https://doi.org/10.1016/j.cognition.2014.09.003

Outcome: statistically successful but flawed
Outcome quote: It is concluded that the SBIH as postulated by Bernard et al. (2012) is based on a methodological artifact and cannot be related to SO but symmetry detection.
Quote source: abstract

FLoRA is available online: https://dx.doi.org/10.17605/OSF.IO/9r62x

We describe why and how we submitted these automated comments here: https://github.com/forrtproject/flora-pubpeer/blob/main/README.md

FLoRA Notify Team"
Integrating Sexual Objectification With Object Versus Person Recognition,10.1177/0956797611434748,Psychological Science,Measuring objectification through the Body Inversion Paradigm: Methodological issues,10.1371/journal.pone.0229161,PLOS ONE,"Zogmaister, C., Durante, F., Mari, S., Crippa, F., & Volpato, C. (2020). Measuring objectification through the Body Inversion Paradigm: Methodological issues. PLOS ONE, 15(2), e0229161. https://doi.org/10.1371/journal.pone.0229161",mixed,"Study 1 replicated the original results, showing a stronger inversion effect for male photos. However, no difference between male and female stimuli emerged in either Study 2a or 2b.",NA,2,"According to data from the FORRT Library of Reproduction and Replication Attempts (FLoRA) there are 2 replication attempt(s) of a finding from this study. Future research may learn from replications and build on them. Manual inspection of these articles may help to assess what led to the described outcome.

Replication article reference: Zogmaister, C., Durante, F., Mari, S., Crippa, F., & Volpato, C. (2020). Measuring objectification through the Body Inversion Paradigm: Methodological issues. PLOS ONE, 15(2), e0229161. https://doi.org/10.1371/journal.pone.0229161
https://doi.org/10.1371/journal.pone.0229161

Outcome: mixed
Outcome quote: Study 1 replicated the original results, showing a stronger inversion effect for male photos. However, no difference between male and female stimuli emerged in either Study 2a or 2b.
Quote source: ""Does not appear""

FLoRA is available online: https://dx.doi.org/10.17605/OSF.IO/9r62x

We describe why and how we submitted these automated comments here: https://github.com/forrtproject/flora-pubpeer/blob/main/README.md

FLoRA Notify Team"
The Working Memory Stroop Effect: When Internal Representations Clash With External Stimuli,10.1177/0956797614536739,Psychological Science,Eleven years of student replication projects provide evidence on the correlates of replicability in psychology,10.1098/rsos.231240,Royal Society Open Science,"Boyce, V., Mathur, M., & Frank, M. C. (2023). Eleven years of student replication projects provide evidence on the correlates of replicability in psychology. Royal Society Open Science, 10(11). https://doi.org/10.1098/rsos.231240",mixed,"0.75 [In figure 2, authors quantified subjective success on a more nuanced scale from 0, 0.25, 0.5, 0.75 and 1. I am coding 0 as 'failed', 1 as 'success' and anything inbetween as 'mixed']. subjective replication success rating 0.75",pg. 3 of supplementary materials https://rs.figshare.com/articles/journal_contribution/Supplemental_Information_from_Eleven_years_of_student_replication_projects_provide_evidence_on_the_correlates_of_replicability_in_psychology/24499288?backTo=%2Fcollections%2FSupplementary_material_from_Eleven_years_of_student_replication_projects_provide_evidence_on_the_correlates_of_replicability_in_psychology_%2F6914086&file=43041597,1,"According to data from the FORRT Library of Reproduction and Replication Attempts (FLoRA) there are 1 replication attempt(s) of a finding from this study. Future research may learn from replications and build on them. Manual inspection of these articles may help to assess what led to the described outcome.

Replication article reference: Boyce, V., Mathur, M., & Frank, M. C. (2023). Eleven years of student replication projects provide evidence on the correlates of replicability in psychology. Royal Society Open Science, 10(11). https://doi.org/10.1098/rsos.231240
https://doi.org/10.1098/rsos.231240

Outcome: mixed
Outcome quote: 0.75 [In figure 2, authors quantified subjective success on a more nuanced scale from 0, 0.25, 0.5, 0.75 and 1. I am coding 0 as 'failed', 1 as 'success' and anything inbetween as 'mixed']. subjective replication success rating 0.75
Quote source: pg. 3 of supplementary materials https://rs.figshare.com/articles/journal_contribution/Supplemental_Information_from_Eleven_years_of_student_replication_projects_provide_evidence_on_the_correlates_of_replicability_in_psychology/24499288?backTo=%2Fcollections%2FSupplementary_material_from_Eleven_years_of_student_replication_projects_provide_evidence_on_the_correlates_of_replicability_in_psychology_%2F6914086&file=43041597

FLoRA is available online: https://dx.doi.org/10.17605/OSF.IO/9r62x

We describe why and how we submitted these automated comments here: https://github.com/forrtproject/flora-pubpeer/blob/main/README.md

FLoRA Notify Team"
Object Persistence Enhances Spatial Navigation,10.1177/0956797614547705,Psychological Science,Eleven years of student replication projects provide evidence on the correlates of replicability in psychology,10.1098/rsos.231240,Royal Society Open Science,"Boyce, V., Mathur, M., & Frank, M. C. (2023). Eleven years of student replication projects provide evidence on the correlates of replicability in psychology. Royal Society Open Science, 10(11). https://doi.org/10.1098/rsos.231240 Individual report available at https://rpubs.com/jedtan/160878",mixed,"0.25 [In figure 2, authors quantified subjective success on a more nuanced scale from 0, 0.25, 0.5, 0.75 and 1. I am coding 0 as 'failed', 1 as 'success' and anything inbetween as 'mixed']. subjective replication success rating 0.25",pg. 3 of supplementary materials https://rs.figshare.com/articles/journal_contribution/Supplemental_Information_from_Eleven_years_of_student_replication_projects_provide_evidence_on_the_correlates_of_replicability_in_psychology/24499288?backTo=%2Fcollections%2FSupplementary_material_from_Eleven_years_of_student_replication_projects_provide_evidence_on_the_correlates_of_replicability_in_psychology_%2F6914086&file=43041607,1,"According to data from the FORRT Library of Reproduction and Replication Attempts (FLoRA) there are 1 replication attempt(s) of a finding from this study. Future research may learn from replications and build on them. Manual inspection of these articles may help to assess what led to the described outcome.

Replication article reference: Boyce, V., Mathur, M., & Frank, M. C. (2023). Eleven years of student replication projects provide evidence on the correlates of replicability in psychology. Royal Society Open Science, 10(11). https://doi.org/10.1098/rsos.231240 Individual report available at https://rpubs.com/jedtan/160878
https://doi.org/10.1098/rsos.231240

Outcome: mixed
Outcome quote: 0.25 [In figure 2, authors quantified subjective success on a more nuanced scale from 0, 0.25, 0.5, 0.75 and 1. I am coding 0 as 'failed', 1 as 'success' and anything inbetween as 'mixed']. subjective replication success rating 0.25
Quote source: pg. 3 of supplementary materials https://rs.figshare.com/articles/journal_contribution/Supplemental_Information_from_Eleven_years_of_student_replication_projects_provide_evidence_on_the_correlates_of_replicability_in_psychology/24499288?backTo=%2Fcollections%2FSupplementary_material_from_Eleven_years_of_student_replication_projects_provide_evidence_on_the_correlates_of_replicability_in_psychology_%2F6914086&file=43041607

FLoRA is available online: https://dx.doi.org/10.17605/OSF.IO/9r62x

We describe why and how we submitted these automated comments here: https://github.com/forrtproject/flora-pubpeer/blob/main/README.md

FLoRA Notify Team"
"When Does the Future Begin? Time Metrics Matter, Connecting Present and Future Selves",10.1177/0956797615572231,Psychological Science,Eleven years of student replication projects provide evidence on the correlates of replicability in psychology,10.1098/rsos.231240,Royal Society Open Science,"Boyce, V., Mathur, M., & Frank, M. C. (2023). Eleven years of student replication projects provide evidence on the correlates of replicability in psychology. Royal Society Open Science, 10(11). https://doi.org/10.1098/rsos.231240",mixed,"0.25 [In figure 2, authors quantified subjective success on a more nuanced scale from 0, 0.25, 0.5, 0.75 and 1. I am coding 0 as 'failed', 1 as 'success' and anything inbetween as 'mixed']. subjective replication success rating 0.25",pg. 3 of supplementary materials https://rs.figshare.com/articles/journal_contribution/Supplemental_Information_from_Eleven_years_of_student_replication_projects_provide_evidence_on_the_correlates_of_replicability_in_psychology/24499288?backTo=%2Fcollections%2FSupplementary_material_from_Eleven_years_of_student_replication_projects_provide_evidence_on_the_correlates_of_replicability_in_psychology_%2F6914086&file=43041603,1,"According to data from the FORRT Library of Reproduction and Replication Attempts (FLoRA) there are 1 replication attempt(s) of a finding from this study. Future research may learn from replications and build on them. Manual inspection of these articles may help to assess what led to the described outcome.

Replication article reference: Boyce, V., Mathur, M., & Frank, M. C. (2023). Eleven years of student replication projects provide evidence on the correlates of replicability in psychology. Royal Society Open Science, 10(11). https://doi.org/10.1098/rsos.231240
https://doi.org/10.1098/rsos.231240

Outcome: mixed
Outcome quote: 0.25 [In figure 2, authors quantified subjective success on a more nuanced scale from 0, 0.25, 0.5, 0.75 and 1. I am coding 0 as 'failed', 1 as 'success' and anything inbetween as 'mixed']. subjective replication success rating 0.25
Quote source: pg. 3 of supplementary materials https://rs.figshare.com/articles/journal_contribution/Supplemental_Information_from_Eleven_years_of_student_replication_projects_provide_evidence_on_the_correlates_of_replicability_in_psychology/24499288?backTo=%2Fcollections%2FSupplementary_material_from_Eleven_years_of_student_replication_projects_provide_evidence_on_the_correlates_of_replicability_in_psychology_%2F6914086&file=43041603

FLoRA is available online: https://dx.doi.org/10.17605/OSF.IO/9r62x

We describe why and how we submitted these automated comments here: https://github.com/forrtproject/flora-pubpeer/blob/main/README.md

FLoRA Notify Team"
Maximizing Performance,10.1249/mss.0000000000000818,Medicine &amp; Science in Sports &amp; Exercise,"The Effects of Augmented Feedback, Focus of Attention, and Monetary Reward on Vertical Jump Height: A Replication Study",10.70252/nkky8370,International Journal of Exercise Science,"Bakhshinejad, J., Hutchinson, J., Murphy, J., Trainor, L., Friedman, S., & Coker, N. (2025). The Effects of Augmented Feedback, Focus of Attention, and Monetary Reward on Vertical Jump Height: A Replication Study. International Journal of Exercise Science, 18(7), 13–26. https://doi.org/10.70252/nkky8370",failed,"The present study demonstrated that each combination of AF, EF, and RE did not affect vertical jump performance. Therefore, we were unable to replicate the findings from the original study in this close replication.",abstract,2,"According to data from the FORRT Library of Reproduction and Replication Attempts (FLoRA) there are 2 replication attempt(s) of a finding from this study. Future research may learn from replications and build on them. Manual inspection of these articles may help to assess what led to the described outcome.

Replication article reference: Bakhshinejad, J., Hutchinson, J., Murphy, J., Trainor, L., Friedman, S., & Coker, N. (2025). The Effects of Augmented Feedback, Focus of Attention, and Monetary Reward on Vertical Jump Height: A Replication Study. International Journal of Exercise Science, 18(7), 13–26. https://doi.org/10.70252/nkky8370
https://doi.org/10.70252/nkky8370

Outcome: failed
Outcome quote: The present study demonstrated that each combination of AF, EF, and RE did not affect vertical jump performance. Therefore, we were unable to replicate the findings from the original study in this close replication.
Quote source: abstract

FLoRA is available online: https://dx.doi.org/10.17605/OSF.IO/9r62x

We describe why and how we submitted these automated comments here: https://github.com/forrtproject/flora-pubpeer/blob/main/README.md

FLoRA Notify Team"
Maximizing Performance,10.1249/mss.0000000000000818,Medicine &amp; Science in Sports &amp; Exercise,Estimating the Replicability of Sports and Exercise Science Research,10.1007/s40279-025-02201-w,Sports Medicine,"Murphy, J., Caldwell, A. R., Mesquida, C., Ladell, A. J. M., Encarnación-Martínez, A., Tual, A., Denys, A., Cameron, B., Van Hooren, B., Parr, B., DeLucia, B., Mason, B. R. J., Clark, B., Egan, B., Brown, C., Ade, C., Sforza, C., Taber, C. B., Kirk, C., … Warne, J. P. (2025). Estimating the Replicability of Sports and Exercise Science Research. Sports Medicine, 55(10), 2659–2679. https://doi.org/10.1007/s40279-025-02201-w",failed,"Replication non-significant or opposite direction, effect sizes incompatible (z=7.71, p=0.001)",NA,2,"According to data from the FORRT Library of Reproduction and Replication Attempts (FLoRA) there are 2 replication attempt(s) of a finding from this study. Future research may learn from replications and build on them. Manual inspection of these articles may help to assess what led to the described outcome.

Replication article reference: Murphy, J., Caldwell, A. R., Mesquida, C., Ladell, A. J. M., Encarnación-Martínez, A., Tual, A., Denys, A., Cameron, B., Van Hooren, B., Parr, B., DeLucia, B., Mason, B. R. J., Clark, B., Egan, B., Brown, C., Ade, C., Sforza, C., Taber, C. B., Kirk, C., … Warne, J. P. (2025). Estimating the Replicability of Sports and Exercise Science Research. Sports Medicine, 55(10), 2659–2679. https://doi.org/10.1007/s40279-025-02201-w
https://doi.org/10.1007/s40279-025-02201-w

Outcome: failed
Outcome quote: Replication non-significant or opposite direction, effect sizes incompatible (z=7.71, p=0.001)
Quote source: ""Does not appear""

FLoRA is available online: https://dx.doi.org/10.17605/OSF.IO/9r62x

We describe why and how we submitted these automated comments here: https://github.com/forrtproject/flora-pubpeer/blob/main/README.md

FLoRA Notify Team"
The Potential of Social Identity for Equilibrium Selection,10.1257/aer.101.6.2562,American Economic Review,Evaluating replicability of laboratory experiments in economics,10.1126/science.aaf0918,Science,"Camerer, C. F., Dreber, A., Forsell, E., Ho, T.-H., Huber, J., Johannesson, M., Kirchler, M., Almenberg, J., Altmejd, A., Chan, T., Heikensten, E., Holzmeister, F., Imai, T., Isaksson, S., Nave, G., Pfeiffer, T., Razen, M., & Wu, H. (2016). Evaluating replicability of laboratory experiments in economics. Science, 351(6280), 1433–1436. https://doi.org/10.1126/science.aaf0918",failed,No stated in Replicated column,Table S1. Replication results. p. 19,1,"According to data from the FORRT Library of Reproduction and Replication Attempts (FLoRA) there are 1 replication attempt(s) of a finding from this study. Future research may learn from replications and build on them. Manual inspection of these articles may help to assess what led to the described outcome.

Replication article reference: Camerer, C. F., Dreber, A., Forsell, E., Ho, T.-H., Huber, J., Johannesson, M., Kirchler, M., Almenberg, J., Altmejd, A., Chan, T., Heikensten, E., Holzmeister, F., Imai, T., Isaksson, S., Nave, G., Pfeiffer, T., Razen, M., & Wu, H. (2016). Evaluating replicability of laboratory experiments in economics. Science, 351(6280), 1433–1436. https://doi.org/10.1126/science.aaf0918
https://doi.org/10.1126/science.aaf0918

Outcome: failed
Outcome quote: No stated in Replicated column
Quote source: Table S1. Replication results. p. 19

FLoRA is available online: https://dx.doi.org/10.17605/OSF.IO/9r62x

We describe why and how we submitted these automated comments here: https://github.com/forrtproject/flora-pubpeer/blob/main/README.md

FLoRA Notify Team"
Outcome-Reporting Bias in Education Research,10.3102/0013189x13507104,Educational Researcher,Outcome-Reporting Bias in Special Education Intervention Research Using Experimental and Quasi-Experimental Group Designs: A Conceptual Replication,10.1177/07419325241240067,Remedial and Special Education,"Talbott, E., Maggin, D. M., Chua, M., Ashley, L., Chen, X., Chin, P. A., & Curry, M. K. (2024). Outcome-Reporting Bias in Special Education Intervention Research Using Experimental and Quasi-Experimental Group Designs: A Conceptual Replication. Remedial and Special Education. https://doi.org/10.1177/07419325241240067",mixed,"As expected, we found that the odds of a statistically significant outcome in a dissertation appearing in the published version were significantly greater than the odds of a nonsignificant outcome appearing in the published version, replicating (to some extent) the results obtained by Pigott and colleagues. Notably, the odds ratio we obtained (1.48) was smaller than that obtained by Pigott et al. (2.41), indicating a smaller outcome-reporting bias.",pg.8,1,"According to data from the FORRT Library of Reproduction and Replication Attempts (FLoRA) there are 1 replication attempt(s) of a finding from this study. Future research may learn from replications and build on them. Manual inspection of these articles may help to assess what led to the described outcome.

Replication article reference: Talbott, E., Maggin, D. M., Chua, M., Ashley, L., Chen, X., Chin, P. A., & Curry, M. K. (2024). Outcome-Reporting Bias in Special Education Intervention Research Using Experimental and Quasi-Experimental Group Designs: A Conceptual Replication. Remedial and Special Education. https://doi.org/10.1177/07419325241240067
https://doi.org/10.1177/07419325241240067

Outcome: mixed
Outcome quote: As expected, we found that the odds of a statistically significant outcome in a dissertation appearing in the published version were significantly greater than the odds of a nonsignificant outcome appearing in the published version, replicating (to some extent) the results obtained by Pigott and colleagues. Notably, the odds ratio we obtained (1.48) was smaller than that obtained by Pigott et al. (2.41), indicating a smaller outcome-reporting bias.
Quote source: pg.8

FLoRA is available online: https://dx.doi.org/10.17605/OSF.IO/9r62x

We describe why and how we submitted these automated comments here: https://github.com/forrtproject/flora-pubpeer/blob/main/README.md

FLoRA Notify Team"
